weight_class,rank,name,school
125,1,Luke Lilledahl,Penn State
125,2,Vincent Robinson,NC State
125,3,Troy Spratley,Oklahoma State
125,4,Eddie Ventresca,Virginia Tech
125,5,Dean Peterson,Iowa
125,6,Nicolar Rivera,Wisconsin
125,7,Stevo Poulin,Iowa State
125,8,Sheldon Seymour,Lehigh
125,9,Trever Anderson,Northern Iowa
125,10,Nico Provo,Stanford
125,11,Jore Volk,Minnesota
125,12,Brendan McCrone,Ohio State
125,HM,Greg Diakomihalis,Cornell
125,HM,Jacob Moran,Indiana
125,HM,Marc-Anthony McGowan,Princeton
125,HM,Blake West,Northern Illinois
133,1,Ryan Crookham,Lehigh
133,2,Lucas Byrd,Illinois
133,3,Drake Ayala,Iowa
133,4,Zeth Romney,Cal Poly
133,5,Braeden Davis/Marcus Blaze/Masanosuke Ono,Penn State
133,6,Zan Fuggit,Wisconsin
133,7,Richard Figueroa,Oklahoma State
133,8,Ben Davino/Nic Bouzakis,Ohio State
133,9,Jacob Van Dee,Nebraska
133,10,Evan Frost,Iowa State
133,11,Tyler Knox,Stanford
133,12,Jett Strickenberger,West Virginia
133,HM,Dylan Ragusin,Michigan
133,HM,Dylan Shawver,Rutgers
133,HM,Braxton Brown,Maryland
133,HM,Dominick Serrano,Northern Colorado
141,1,Jesse Mendez,Ohio State
141,2,Luke Stanich,Lehigh
141,3,Brock Hardy,Nebraska
141,4,CJ Composto,Penn
141,5,Vance Vombaur,Minnesota
141,6,Anthony Echemendia,Iowa State
141,7,Nasir Bailey,Iowa
141,8,Sergio Lemley,Michigan
141,9,Julian Tagg,South Dakota State
141,10,Danny Pucino,Illinois
141,11,Wyatt Henson,Lock Haven
141,12,Ryan Jack,NC State
141,HM,Cael Hughes,Oklahoma State
141,HM,Vince Cornella,Cornell
141,HM,Dylan Chappel,Bucknell
141,HM,Eligh Rivera,Princeton
149,1,Caleb Henson,Virginia Tech
149,2,Shayne Van Ness,Penn State
149,3,Tagen Jamison,Oklahoma State
149,4,Jacob Frost,Iowa State
149,5,Lachlan Mcneil,Michigan
149,6,Ethan Stiles,Ohio State
149,7,Jordan Williams,Iowa
149,8,Gavin Drexler,North Dakota State
149,9,Cross Wasilewski,Penn
149,10,Chance Lamer,Nebraska
149,11,Jack Gioffre,Oklahoma
149,12,Ty Whalen,Princeton
149,HM,EJ Parco,Stanford
149,HM,Josh Edmond,Missouri
149,HM,Andrew Clark,Rutgers
149,HM,Joseph Zargo,Wisconsin
157,1,Antrell Taylor,Nebraska
157,2,Tyler Kasak,Penn State
157,3,Meyer Shapiro,Cornell
157,4,Joey Blaze,Purdue
157,5,Jackson Arrington,NC State
157,6,Daniel Cardenas,Stanford
157,7,Ty Watters,West Virginia
157,8,Matty Bianchi,Little Rock
157,9,Peyten Kellar,Oklahoma
157,10,Brandon Cannon,Ohio State
157,11,Kannon Webster,Illinois
157,12,Vince Zerban,Iowa State
157,HM,Charlie Millard,Minnesota
157,HM,Jude Swisher,Penn
157,HM,Cael Swensen,South Dakota State
157,HM,Cody Chittum,Chattanooga
165,1,Mitchell Mesenbrink,Penn State
165,2,Michael Caliendo,Iowa
165,3,Christopher Minto,Nebraska
165,4,Hunter Garvin,Stanford
165,5,Ryder Downey,Northern Iowa
165,6,Max Brignola,Lehigh
165,7,Beau Mantanona,Michigan
165,8,Rafael Hipolito,Oklahoma
165,9,Braeden Scoles,Illinois
165,10,Nicco Ruiz,Arizona State
165,11,Andrew Sparks,Minnesota
165,12,Paddy Galagher,Ohio State
165,HM,Nick Hamilton,Virginia
165,HM,Will Miller,App State
165,HM,Maxx Mayfield,Missouri
